"","actor","talk_time_igc1_MGR","talk_time_igc1_ABMT","talk_time_igc1_EIA","talk_time_igc1_CBTT","talk_time_igc1_crosscutting","talk_time_igc1_other","talk_time_igc2_MGR","talk_time_igc2_ABMT","talk_time_igc2_EIA","talk_time_igc2_CBTT","talk_time_igc2_crosscutting","talk_time_igc2_other","talk_time_igc3_MGR","talk_time_igc3_ABMT","talk_time_igc3_EIA","talk_time_igc3_CBTT","talk_time_igc3_crosscutting","talk_time_igc3_other","talk_fr_igc1_MGR","talk_fr_igc1_ABMT","talk_fr_igc1_EIA","talk_fr_igc1_CBTT","talk_fr_igc1_Cross.Cutting","talk_fr_igc2_MGR","talk_fr_igc2_ABMT","talk_fr_igc2_EIA","talk_fr_igc2_CBTT","talk_fr_igc2_Cross.Cutting","talk_fr_igc3_MGR","talk_fr_igc3_ABMT","talk_fr_igc3_EIA","talk_fr_igc3_CBTT","talk_fr_igc3_Cross.Cutting","host_side_event_igc1","host_side_event_igc2","host_side_event_igc3","sci_fr_igc1_MGR","sci_fr_igc1_ABMT","sci_fr_igc1_EIA","sci_fr_igc1_CBTT","sci_fr_igc1_crosscutting","sci_fr_igc2_MGR","sci_fr_igc2_ABMT","sci_fr_igc2_EIA","sci_fr_igc2_CBTT","sci_fr_igc2_crosscutting","sci_fr_igc3_MGR","sci_fr_igc3_ABMT","sci_fr_igc3_EIA","sci_fr_igc3_CBTT","sci_fr_igc3_crosscutting","frq_sci1","frq_sci2","frq_sci3","total_frq_sci","total_time","agg_total_time","agg_frq_sci","participants_CBD_cop18","participants_BBNJ_igc1","participants_BBNJ_igc2","participants_BBNJ_igc3","total_publications","total_citations","talk_time_MGR","talk_time_ABMT","talk_time_EIA","talk_time_CBTT","talk_time_crosscutting","2014_expenditure_rd","2015_expenditure_rd","2016_expenditure_rd","2017_expenditure_rd","2018_expenditure_rd","2019_expenditure_rd","2014_expenditure_rd_pc","2015_expenditure_rd_pc","2016_expenditure_rd_pc","2017_expenditure_rd_pc","2018_expenditure_rd_pc","2019_expenditure_rd_pc","X","represents_alliance","alliance","avg_citation","degree_centrality","eigen_centrality","member_alliance","PSIDS","CLAM","AOSIS","CARICOM","Least_Developed","Non_UNCLOS_Party","African_Group","G77_and_China","EU","region","continent","maripoldata_regions","Country"
"72","greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,4,3,3,4,277,4517,NA,NA,NA,NA,NA,2436024.77358,2798161.29557,2980060.78428,3538547.80024,3835586.23706,NA,227.63489,262.49783,280.73564,334.79015,364.52163,NA,NA,NA,"EU",16.3068592057762,5037,0.0694738379752863,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Southern Europe","Europe","Europe","Greece"
"73","greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"greenland",1,221,0.00379508101790462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern America","Americas","North America",NA
"74","grenada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9483,25,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARICOM",NA,NA,NA,"CARICOM",NA,NA,"AOSIS","CARICOM",NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America",NA
"75","guatemala",0,0,0,0,0,0,0,0,0,0,0,251,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,13259,79,3,4,3,5,NA,NA,0,0,164,0,0,35021.19401,39085.40264,30079.65936,39561.41864,41654.47351,NA,2.19938,2.4049,1.81388,2.33884,2.41505,NA,61,"CLAM","CLAM",NA,NA,NA,"CLAM",NA,"CLAM",NA,NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America","Guatemala"
"76","guinea",0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,2,2,2,6,0,10597,20,3,0,4,3,1,2,0,0,0,484,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,"guinea","African Group",2,76,0.0012509558704041,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
"77","guyana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9483,25,5,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARICOM",NA,NA,NA,"CARICOM",NA,NA,"AOSIS","CARICOM",NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America",NA
"78","haiti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9483,25,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARICOM",NA,NA,NA,"CARICOM",NA,NA,"AOSIS","CARICOM",NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America",NA
"79","holy see",2392,1626,0,153,380,431,2218,760,1604,0,2016,457,140,0,0,0,89,112,3,3,0,1,2,3,2,6,0,6,2,0,0,0,2,0,0,0,4,1,0,1,3,5,1,0,1,4,5,1,0,1,3,9,11,10,30,6827,6827,30,3,0,4,7,NA,NA,4750,2386,1604,153,2485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,"holy see","holy see",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","Europe",NA
"80","honduras",426,0,0,231,0,0,0,0,0,539,0,0,0,0,0,315,113,0,2,2,0,1,0,0,0,0,2,0,0,0,0,2,1,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,2,6,967,13259,79,9,5,6,6,1,0,426,0,0,1085,113,NA,6578.87583,NA,20946.18211,NA,NA,NA,0.72193,NA,2.22146,NA,NA,66,"CLAM","CLAM",0,12,0.000307597944238264,"CLAM",NA,"CLAM",NA,NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America","Honduras"
"81","hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,2,4,4,5,21,290,NA,NA,NA,NA,NA,3408354.43045,3534537.66725,3235146.29833,3849702.55377,4733514.47754,NA,347.61423,361.48144,331.70866,395.66008,487.61421,NA,NA,NA,"EU",13.8095238095238,542,0.0093341215339267,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Eastern Europe","Europe","Europe","Hungary"
"82","iceland",297,789,0,0,0,260,973,973,254,0,1205,259,502,86,0,0,1000,514,2,2,0,0,1,2,4,1,0,7,4,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,4993,4993,2,2,5,6,5,19,221,1772,1848,254,0,2205,291561.79948,355148.09671,378447.94257,401551.21733,415758.31892,NA,887.30104,1075.41446,1139.19659,1200.83619,1234.75577,NA,71,"iceland","iceland",11.6315789473684,1081,0.0255098320117681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern Europe","Europe","Europe","Iceland"
"83","india",475,0,0,0,0,0,128,465,507,912,131,180,0,445,61,62,74,147,4,4,0,0,0,1,3,4,4,2,0,1,2,1,2,0,0,0,2,0,1,0,1,2,1,1,1,1,2,0,1,0,1,4,6,4,14,2785,2785,14,5,7,6,NA,527,5267,603,910,568,974,205,47574691.70488,49624344.94727,51811986.68612,55126972.17249,58721379.49783,NA,36.72018,37.87677,39.11764,41.1802,43.41235,NA,78,"india","india",9.99430740037951,1904,0.0457082028646522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern Asia","Asia","Asia","India"
"84","indonesia",323,67,0,0,0,227,294,0,594,522,708,254,776,0,309,154,501,316,2,2,0,0,1,2,0,4,4,6,6,0,4,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3858,3858,0,32,10,6,10,76,279,1393,67,903,676,1209,NA,NA,6734582.86518,6889503.45394,7051365.1974,NA,NA,NA,25.74811,26.03241,26.34345,NA,79,"indonesia","indonesia",3.67105263157895,1977,0.0482847479057003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South-eastern Asia","Asia",NA,"Indonesia"
"85","iran",560,0,75,119,96,391,474,0,284,156,0,461,246,0,0,92,124,167,2,2,1,1,2,4,0,2,1,2,3,0,0,2,4,0,0,0,0,0,1,1,2,0,0,1,1,2,0,0,1,1,2,4,4,4,12,1376,1376,12,3,6,4,2,133,631,1280,0,359,367,220,NA,4454361.06643,NA,9736234.48216,NA,NA,NA,56.74908,NA,120.68633,NA,NA,84,"iran","iran",4.74436090225564,608,0.0120250881982134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern Asia","Asia","Asia","Iran (Islamic Republic of)"
"86","iraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,2,2,NA,NA,NA,NA,NA,NA,NA,183288.71286,139534.93397,129002.93074,181693.2438,182075.32141,NA,5.32631,3.92258,3.52365,4.83834,4.7374,NA,NA,NA,"iraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Asia","Asia","Asia","Iraq"
"87","ireland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40760,106,3,5,4,6,130,3602,0,0,0,0,0,3622788.11439,3840109.99804,3997839.79486,NA,4713043.52239,NA,782.99336,825.39966,851.36881,NA,978.07568,NA,85,"ireland","EU",27.7076923076923,2939,0.0664600537386742,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Northern Europe","Europe","Europe","Ireland"
"88","israel",0,303,0,0,0,0,0,0,0,0,0,0,0,54,125,0,181,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,3,360,360,3,10,6,3,0,174,3890,0,357,125,0,181,11732350.14733,12666266.40748,14591731.44899,16352453.16169,17669909.22747,NA,1493.76521,1587.55183,1799.45227,1983.5947,2108.19967,NA,87,"israel","israel",22.3563218390805,2804,0.0594566102917236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Asia","Asia","Asia","Israel"
"89","italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,9,3,3,5,1368,27961,NA,NA,NA,NA,NA,29448322.4362,30002911.32641,33073245.64847,34657592.11111,36006510.90302,NA,487.47737,495.27331,545.1958,571.21276,593.89939,NA,NA,NA,"EU",20.4393274853801,14613,0.257747222208437,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Southern Europe","Europe","Europe","Italy"
"90","jamaica",261,0,0,199,0,0,0,0,73,266,1411,0,0,0,0,0,1560,0,1,1,0,1,0,0,0,1,1,5,0,0,0,0,13,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,2,4,3310,9483,25,4,4,3,3,6,16,261,0,73,465,2971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,"CARICOM","CARICOM",2.66666666666667,69,0.00192123094064636,"CARICOM",NA,NA,"AOSIS","CARICOM",NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America",NA
"91","japan",888,460,0,71,442,0,1217,1274,205,828,625,360,389,600,442,320,1680,338,4,4,0,1,1,3,4,2,4,6,7,3,5,3,18,0,0,0,5,3,1,0,1,4,2,1,0,1,4,3,1,0,1,10,8,9,27,7580,7580,27,44,21,21,19,650,10394,2494,2334,647,1219,2747,169554148.52584,168546118.80654,160294989.51016,166183654.38065,171293550.16097,NA,1322.89888,1316.91951,1254.62502,1303.37335,1346.6242,NA,91,"japan","japan",15.9907692307692,6498,0.142046100371039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eastern Asia","Asia","Asia","Japan"
"92","jordan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,0,11,96,NA,NA,NA,NA,NA,NA,NA,627651.45718,NA,NA,NA,NA,NA,65.69318,NA,NA,NA,NA,NA,"jordan",8.72727272727273,89,0.00141869170218288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Asia","Asia","Asia","Jordan"
"93","kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497,9,NA,NA,NA,NA,6,18,NA,NA,NA,NA,NA,714847.24694,690613.23415,600950.84076,568100.88448,558309.51415,NA,41.31441,39.30188,33.70277,31.42148,30.47605,NA,NA,NA,"kazakhstan",3,68,0.000666652449991478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Central Asia","Asia","Asia","Kazakhstan"
"94","kenya",0,142,0,0,0,0,0,162,0,196,0,0,0,0,0,0,0,69,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,10597,20,32,6,7,0,30,720,0,304,0,196,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,"kenya","African Group",24,922,0.0245666694159868,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
"95","kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,351,4176,6,1,4,0,7,NA,NA,0,351,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"kiribati","AOSIS",NA,NA,NA,"AOSIS",NA,NA,"AOSIS",NA,NA,NA,NA,NA,NA,"Micronesia","Oceania","Oceania",NA
"96","kuwait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3,2,14,92,NA,NA,NA,NA,NA,1104645.4197,175005.14215,141192.68664,165854.75428,133350.58346,NA,299.28558,45.62664,35.68288,40.89021,32.23121,NA,NA,NA,"kuwait",6.57142857142857,145,0.00381018127792592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Asia","Asia","Asia","Kuwait"
"97","kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497,9,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,31323.95553,29886.2709,31648.72983,33493.08776,33578.50687,NA,5.35953,5.01521,5.21024,5.41107,5.32651,NA,NA,NA,"kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Central Asia","Asia","Asia","Kyrgyzstan"
"98","landlocked",138,0,0,475,0,0,198,0,0,219,0,238,0,0,0,0,80,408,1,1,0,1,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,3,3,3,9,497,497,9,NA,NA,NA,NA,NA,NA,336,0,0,694,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,"Landlocked","landlocked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","laos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1606,9,NA,NA,NA,NA,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laos",30,68,0.00113251928112967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South-eastern Asia","Asia",NA,NA
"100","latvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,2,3,3,2,11,32,NA,NA,NA,NA,NA,327196.71999,306170.65546,227824.74829,284737.92342,378458.36145,NA,161.88088,153.26357,115.39719,145.93735,196.24911,NA,NA,NA,"EU",2.90909090909091,303,0.00335998859845883,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Northern Europe","Europe","Europe","Latvia"
"101","least developed",179,0,0,453,183,0,212,309,0,112,510,0,0,128,150,45,140,913,1,1,0,2,1,1,2,0,1,2,0,1,2,1,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,3,1606,1606,3,NA,NA,NA,NA,NA,NA,391,437,150,610,833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,"least developed","least developed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","lebanon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0,0,13,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lebanon",3.61538461538462,266,0.00229203478051121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Asia","Asia","Asia",NA
"103","lesotho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3232.25098,NA,NA,NA,NA,NA,1.5698,NA,NA,NA,NA,NA,NA,"African Group",NA,NA,NA,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Lesotho"
"104","liberia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"African Group",NA,NA,NA,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
"105","libya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,1,0,0,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"African Group",0.75,31,0.000321467039558497,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Northern Africa","Africa","Africa",NA
"106","liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Europe","Europe","Europe",NA
"107","lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,2,3,3,2,27,396,NA,NA,NA,NA,NA,851351.71772,874215.06404,747148.6922,857503.66057,945434.78743,NA,286.506,298.1756,258.56859,301.36341,337.50292,NA,NA,NA,"EU",14.6666666666667,996,0.0161456007330179,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Northern Europe","Europe","Europe","Lithuania"
"108","luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,4,0,0,0,7,74,NA,NA,NA,NA,NA,712332.23773,751738.03241,810347.66074,853462.99687,859999.95271,NA,1284.60177,1326.42253,1398.92633,1441.87967,1423.26366,NA,NA,NA,"EU",10.5714285714286,261,0.00324684866127769,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Western Europe","Europe","Europe","Luxembourg"
"109","madagascar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,19,4,4,0,7,59,NA,NA,NA,NA,NA,4849.04466,NA,5055.83961,5163.98378,NA,NA,0.20556,NA,0.20309,0.20195,NA,NA,NA,NA,"African Group",8.42857142857143,537,0.0152154047073527,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Madagascar"
"110","malawi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10597,20,6,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"Least Developed","African Group",NA,NA,NA,"African Group",NA,NA,NA,NA,"Least Developed",NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
"111","malaysia",0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,17,4,3,4,91,675,34,0,0,0,0,9280517.60901,9605799.04094,11093179.78154,NA,9250017.98999,NA,310.73228,317.32718,361.52207,NA,293.39027,NA,101,"malaysia","malaysia",7.41758241758242,1542,0.0279264990338567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South-eastern Asia","Asia",NA,"Malaysia"
"112","maldives",869,885,398,2116,171,0,99,0,0,0,0,0,101,270,0,226,251,0,4,4,2,5,1,1,0,0,0,0,1,2,0,2,4,1,0,0,2,1,0,3,1,2,1,0,3,1,2,1,0,3,1,7,7,7,21,947,4176,6,8,9,8,9,1,3,1069,1155,398,2342,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,"maldives","AOSIS",3,78,0.00171908844090264,"AOSIS",NA,NA,"AOSIS",NA,NA,NA,NA,NA,NA,"Southern Asia","Asia","Asia",NA
