actor,represents_alliance,alliance,host_side_event_igc1,host_side_event_igc2,host_side_event_igc3,frq_sci,total_time,agg_total_time,agg_frq_sci,participants_CBD_cop18,participants_BBNJ_igc1,participants_BBNJ_igc2,participants_BBNJ_igc3,total_publications,total_citations,avg_citation,degree_centrality,eigen_centrality,agg_total_publications,agg_total_citations,r,indegree
cook islands,cook islands,AOSIS,0,0,0,NA,77,4381,10,1,0,1,NA,NA,NA,NA,NA,NA,111,1891,"fiji, tuvalu, fiji",2
costa rica,CLAM,CLAM,0,0,2,NA,210,13452,21,16,8,8,NA,40,1381,34.525,723,0.018658018004819,1779,23382,"peru, chile",2
cote divoire,cote divoire,African Group,0,0,0,NA,28,9333,8,5,1,4,NA,NA,NA,NA,NA,NA,715,10755,NA,0
croatia,croatia,eu,NA,NA,NA,NA,NA,20144,37,3,3,3,NA,85,710,8.35294117647059,1615,0.0238986380981013,9981,277146,NA,0
cuba,cuba,AOSIS,0,0,0,9,2317,4381,10,2,4,5,NA,9,244,27.1111111111111,146,0.00278984796311318,111,1891,"ecuador, cuba, nauru, cuba, norway, russian federation, el salvador, cuba, norway, russian federation",5
cyprus,cyprus,eu,NA,NA,NA,NA,NA,20144,37,NA,4,4,NA,5,12,2.4,1085,0.0126916635794687,9981,277146,NA,0
czech republic,czech republic,eu,NA,NA,NA,NA,NA,20144,37,4,5,5,NA,76,1746,22.9736842105263,1769,0.0324265830446721,9981,277146,NA,0
denmark,denmark,eu,NA,NA,NA,NA,NA,20144,37,9,5,6,NA,228,6398,28.0614035087719,5269,0.119256431948936,9981,277146,NA,0
djibouti,djibouti,African Group,NA,NA,NA,NA,NA,9333,8,2,5,0,NA,NA,NA,NA,NA,NA,715,10755,NA,0
dominica,dominica,CARICOM,NA,NA,NA,NA,NA,9787,24,NA,NA,NA,NA,1,1,1,2,5.61380205054938e-5,27,258,NA,0
dominican republic,CLAM,CLAM,0,0,0,2,452,13452,21,3,4,3,NA,NA,NA,NA,NA,NA,1779,23382,NA,0
ecuador,ecuador,ecuador,0,0,0,3,765,765,3,12,7,5,NA,16,105,6.5625,872,0.0256801071158879,16,105,"ecuador, peru",1
egypt,egypt,African Group,0,0,0,NA,0,9333,8,228,4,4,NA,66,679,10.2878787878788,766,0.0136077499357603,715,10755,NA,0
el salvador,CLAM,CLAM,0,0,0,NA,456,13452,21,4,5,7,NA,2,1,0.5,37,0.00130901439382755,1779,23382,colombia,1
equatorial guinea,equatorial guinea,African Group,NA,NA,NA,NA,NA,9333,8,1,1,0,NA,NA,NA,NA,NA,NA,715,10755,NA,0
